proposicao,autoria,ementa,data_leitura,dias_ate_22_09_2026,documentos_no_processo,documentos_de_resposta,respostas_legiveis,remetido_ao_sei,encerrado,etapa,id_proposicao
REQ 2103/2025,Deputada Dayse Amarilio,"Requer informações à TERRACAP sobre o andamento do processo de regularização fundiária da área do IAPI, localizada na Região Administrativa do Guará – RA X.",2025-06-13,466,3,0,0,sim,sim,Apresentação,153071
REQ 2104/2025,Deputada Paula Belmonte,"Requer informações complementares sobe o Aterro Sanitário de Brasília, a fim de melhor elucidar os fatos relativos à situação do Rio.",2025-06-16,463,5,0,0,nao,nao,Apresentação,153046
REQ 2105/2025,Deputada Paula Belmonte,"Requer a solicitação de informações à Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural (SEAGRI), a fim de melhor elucidar os fatos relativos à situação do Rio Melchior.",2025-06-16,463,5,0,0,nao,nao,Apresentação,153103
REQ 2108/2025,Deputada Paula Belmonte,"Requer a solicitação de informações à Secretaria de Estado do Meio Ambiente do Distrito Federal (SEMA), a fim de melhor elucidar os fatos relativos à situação do Rio Melchior.",2025-06-16,463,5,0,0,nao,nao,Apresentação,153101
REQ 211/2023,"Deputado Max Maciel, Deputado Ricardo Vale, Deputada Paula Belmonte, Comissão de Fiscalização Governança Transparência Controle",Requer ao Instituto de Gestão Estratégica de Saúde do Distrito Federal (IGESDF) informações detalhadas das despesas com pessoal do IGESDF.,2023-02-28,1302,4,0,0,sim,sim,Apresentação,10772
REQ 2129/2025,Deputado Max Maciel,Requer informações à Secretaria de Saúde do Distrito Federal sobre aparelhos para realizar exames de endoscopia no Hospital Regional de Santa Maria - RA XIII.,2025-07-21,428,3,0,0,sim,sim,Apresentação,153345
REQ 213/2023,Deputada Dayse Amarilio,"Requer informações à Secretaria de Estado de Educação do Distrito Federal acerca cumprimento das metas do Plano Distrital de Educação, em especial quanto à educação infantil.

",2023-02-28,1302,3,0,0,sim,sim,Apresentação,10986
REQ 2130/2025,Deputado Max Maciel,"Requer informações à Secretaria de Saúde do Distrito Federal acerca do andamento da reforma do Pronto Socorro do Hospital Regional de Ceilândia – HRC.
",2025-07-21,428,3,0,0,sim,sim,Apresentação,153286
REQ 2131/2025,Deputado Max Maciel,"Requer informações ao Instituto Brasília Ambiental (IBRAM) sobre a situação atual do Parque Distrital de São Sebastião, conhecido como Parque do Bosque – RA XIV.",2025-07-21,428,3,0,0,sim,sim,Apresentação,153277
REQ 2132/2025,Deputado Max Maciel,"Requer, à Secretaria de Meio Ambiente do Distrito Federal, informações relacionadas ao processo de licenciamento da Usina Termelétrica Brasília (UTE Brasília).",2025-07-21,428,3,0,0,sim,sim,Apresentação,153348
REQ 2133/2025,Deputado Max Maciel,Requer informações à Secretaria de Saúde do Distrito Federal sobre a reforma na Unidades Básicas de Saúde (UBS) 09 de Santa Maria - RA XIII.,2025-07-21,428,1,0,0,nao,nao,Apresentação,153346
REQ 2134/2025,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado da Casa Civil do Distrito Federal – CACI acerca da regulamentação da Lei nº 7.459/2024,2025-07-21,428,3,0,0,sim,sim,Apresentação,153194
REQ 2135/2025,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado da Casa Civil do Distrito Federal – CACI acerca da regulamentação da Lei nº 7.624/2024,2025-07-21,428,3,0,0,sim,sim,Apresentação,153195
REQ 2136/2025,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado da Casa Civil e à Secretaria de Estado de Saúde do Distrito Federal – CACI acerca da regulamentação da Lei nº 7.474/2024,2025-07-21,428,3,0,0,sim,sim,Apresentação,153198
REQ 2137/2025,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado da Casa Civil do Distrito Federal – CACI acerca da regulamentação da Lei nº 7.539/2024,2025-07-21,428,3,0,0,sim,sim,Apresentação,153200
REQ 2139/2025,Deputada Dayse Amarilio,"Requer informações à Secretaria de Estado da Casa Civil do Distrito Federal – CACI acerca da regulamentação da Lei nº 7.452/2024
",2025-07-21,428,3,0,0,sim,sim,Apresentação,153322
REQ 2140/2025,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado da Casa Civil do Distrito Federal – CACI acerca da regulamentação da Lei nº 7.389/2024,2025-07-21,428,3,0,0,sim,sim,Apresentação,153320
REQ 2141/2025,Deputada Dayse Amarilio,"Requer informações à Secretaria de Estado da Casa Civil do Distrito Federal – CACI acerca da aplicação/regulamentação da Lei nº 7.242/2023
",2025-07-21,428,3,0,0,sim,sim,Apresentação,153321
REQ 2161/2025,Deputado Fábio Felix,Requer informações à Defensoria Pública do Distrito Federal acerca das demandas voltadas à realização de cirurgias de redesignação sexual.,2025-08-05,413,3,0,0,sim,sim,Apresentação,153438
REQ 2163/2025,Deputado Fábio Felix,"Requer informações junto às Secretarias de Estado de Cultura e Economia Criativa e de Desenvolvimento Urbano e Habitação acerca da preservação de bens com valor patrimonial indicados pelo PPCUB, em especial no que tange à preservação do Brasília Palace Hotel.",2025-08-05,413,3,0,0,sim,sim,Apresentação,153332
REQ 2164/2025,Deputado Fábio Felix,Requer informações ao Poder Executivo acerca da execução e fiscalização das obras públicas em andamento no Distrito Federal,2025-08-05,413,3,0,0,sim,sim,Apresentação,153481
REQ 2171/2025,Deputado Gabriel Magno,Requer à Companhia Urbanizadora da Nova Capital – Novacap o encaminhamento de informações sobre os atos e fatos relacionados à Operação Coringa do Ministério Público do Distrito Federal e Territórios.,2025-08-07,411,3,0,0,sim,sim,Apresentação,153649
